// <randopt_subgroupid>,<rate>,<randopt_id>,<randopt_min_value>,<randopt_max_value>

// Crimson Weapon
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_NOTHING,0,0
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_UNDEAD,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_ANIMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_PLANT,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_INSECT,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_FISHS,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_DEVIL,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_HUMAN,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_ANGEL,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_DRAGON,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_CLASS_IGNORE_MDEF_PERCENT_NORMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_CLASS_IGNORE_MDEF_PERCENT_BOSS,1,30
// Group 1 Slot 3
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_VAR_INTAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_VAR_DEXAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_VAR_ATTMPOWER,1,50
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_DEC_SPELL_CAST_TIME,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_DEC_SPELL_DELAY_TIME,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_DEC_SP_CONSUMPTION,1,5
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_DEC_SPELL_CAST_TIME,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_DEC_SPELL_DELAY_TIME,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_3,1,RDMOPT_DEC_SP_CONSUMPTION,1,5
// Group 2 Slot 1
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_NOTHING_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WATER_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_GROUND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_FIRE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WIND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_POISON_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_SAINT_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_DARKNESS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_TELEKINESIS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_UNDEAD_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_VAR_ATKPERCENT,1,15
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_WEAPON_INDESTRUCTIBLE,0,0
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_DAMAGE_SIZE_PERFECT,0,0
RDMOPTSG_Vicious_Weapon_Group_2_Slot_1,1,RDMOPT_VAR_ATKPERCENT,1,15
// Group 2 Slot 2
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_NOTHING,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_UNDEAD,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_ANIMAL,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_PLANT,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_INSECT,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_FISHS,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_DEVIL,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_HUMAN,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_ANGEL,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_DAMAGE_DRAGON,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_CLASS_DAMAGE_NORMAL_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_CLASS_DAMAGE_BOSS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_NOTHING,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_UNDEAD,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_ANIMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_PLANT,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_INSECT,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_FISHS,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_DEVIL,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_HUMAN,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_ANGEL,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_DRAGON,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_CLASS_IGNORE_DEF_PERCENT_NORMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_2_Slot_2,1,RDMOPT_CLASS_IGNORE_DEF_PERCENT_BOSS,1,30
// Group 2 Slot 3
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_VAR_LUKAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_VAR_DEXAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_VAR_ATTPOWER,1,50
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_VAR_CRITICALSUCCESSVALUE,1,15
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_DAMAGE_CRI_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_VAR_AGIAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_RANGE_ATTACK_DAMAGE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_RANGE_ATTACK_DAMAGE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_2_Slot_3,1,RDMOPT_VAR_PLUSASPD,1,5
// Group 3 Slot 1
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_NOTHING_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WATER_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_GROUND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_FIRE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WIND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_POISON_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_SAINT_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_DARKNESS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_TELEKINESIS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_UNDEAD_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_VAR_ATKPERCENT,1,15
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_WEAPON_ATTR_WATER,0,0
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_WEAPON_ATTR_GROUND,0,0
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_WEAPON_ATTR_FIRE,0,0
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_WEAPON_ATTR_WIND,0,0
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_WEAPON_ATTR_SAINT,0,0
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_WEAPON_ATTR_DARKNESS,0,0
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_VAR_ATKPERCENT,1,15
RDMOPTSG_Vicious_Weapon_Group_3_Slot_1,1,RDMOPT_DAMAGE_SIZE_PERFECT,0,0
// Group 3 Slot 2
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_NOTHING,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_UNDEAD,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_ANIMAL,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_PLANT,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_INSECT,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_FISHS,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_DEVIL,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_HUMAN,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_ANGEL,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_DAMAGE_DRAGON,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_CLASS_DAMAGE_NORMAL_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_CLASS_DAMAGE_BOSS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_NOTHING,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_UNDEAD,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_ANIMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_PLANT,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_INSECT,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_FISHS,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_DEVIL,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_HUMAN,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_ANGEL,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_DRAGON,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_CLASS_IGNORE_DEF_PERCENT_NORMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_3_Slot_2,1,RDMOPT_CLASS_IGNORE_DEF_PERCENT_BOSS,1,30
// Group 3 Slot 3
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_VAR_DEXAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_VAR_STRAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_VAR_ATTPOWER,1,50
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_VAR_CRITICALSUCCESSVALUE,1,15
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_DAMAGE_CRI_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_VAR_AGIAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_RANGE_ATTACK_DAMAGE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_RANGE_ATTACK_DAMAGE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_3_Slot_3,1,RDMOPT_VAR_PLUSASPD,1,5
// Group 4 Slot 1
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_NOTHING_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WATER_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_GROUND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_FIRE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WIND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_POISON_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_SAINT_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_DARKNESS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_TELEKINESIS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_UNDEAD_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_VAR_ATKPERCENT,1,15
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_WEAPON_ATTR_WATER,0,0
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_WEAPON_ATTR_GROUND,0,0
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_WEAPON_ATTR_FIRE,0,0
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_WEAPON_ATTR_WIND,0,0
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_WEAPON_ATTR_SAINT,0,0
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_WEAPON_ATTR_DARKNESS,0,0
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_VAR_ATKPERCENT,1,15
RDMOPTSG_Vicious_Weapon_Group_4_Slot_1,1,RDMOPT_DAMAGE_SIZE_PERFECT,0,0
// Group 4 Slot 2
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_NOTHING,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_UNDEAD,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_ANIMAL,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_PLANT,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_INSECT,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_FISHS,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_DEVIL,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_HUMAN,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_ANGEL,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_DAMAGE_DRAGON,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_CLASS_DAMAGE_NORMAL_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_CLASS_DAMAGE_BOSS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_NOTHING,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_UNDEAD,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_ANIMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_PLANT,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_INSECT,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_FISHS,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_DEVIL,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_HUMAN,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_ANGEL,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_RACE_IGNORE_DEF_PERCENT_DRAGON,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_CLASS_IGNORE_DEF_PERCENT_NORMAL,1,30
RDMOPTSG_Vicious_Weapon_Group_4_Slot_2,1,RDMOPT_CLASS_IGNORE_DEF_PERCENT_BOSS,1,30
// Group 4 Slot 3
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_STRAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_INTAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_MAGICATKPERCENT,1,50
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_ATTPOWER,1,50
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_DEC_SPELL_CAST_TIME,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_DEC_SPELL_DELAY_TIME,1,20
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_AGIAMOUNT,1,10
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_PLUSASPD,1,5
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_PLUSASPD,1,5
RDMOPTSG_Vicious_Weapon_Group_4_Slot_3,1,RDMOPT_VAR_PLUSASPD,1,5
// Group 5 Slot 1
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_NOTHING_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WATER_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_GROUND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_FIRE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_WIND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_POISON_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_SAINT_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_DARKNESS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_TELEKINESIS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_DAMAGE_PROPERTY_UNDEAD_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_5_Slot_1,1,RDMOPT_VAR_ATKPERCENT,1,15
